image_name,equation,netlist
OR (137).jpeg,UNKNOWN,UNKNOWN
OR (138).jpeg,UNKNOWN,UNKNOWN
OR (139).jpeg,UNKNOWN,UNKNOWN
OR (14).jpg,UNKNOWN,UNKNOWN
OR (147).jpeg,UNKNOWN,UNKNOWN
OR (15).jpg,UNKNOWN,UNKNOWN
OR (2).jpg,UNKNOWN,UNKNOWN
OR (23).jpg,UNKNOWN,UNKNOWN
OR (3).jpg,UNKNOWN,UNKNOWN
OR (4).jpg,UNKNOWN,UNKNOWN
OR (57).jpg,UNKNOWN,UNKNOWN
OR (58).jpg,UNKNOWN,UNKNOWN
OR (60).jpg,UNKNOWN,UNKNOWN
OR (61).jpg,UNKNOWN,UNKNOWN
OR (74).jpg,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 223116.png,S = ((A XOR B) XOR Cin),"G1 = XOR(A, B); S = XOR(G1, Cin)"
Screenshot 2026-03-26 223129.png,SUM = ((A XOR B) XOR Cin),"G1 = XOR(A, B); SUM = XOR(G1, Cin)"
Screenshot 2026-03-26 223439.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 223559.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 223847.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 224053.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 225017.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 225050.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 225135.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 225237.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 225400.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 225420.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 225628.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 225738.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 225800.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 230445.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 230502.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 230552.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 230656.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 231020.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 231736.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 231803.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 231809.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 231816.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 232324.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 232551.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 232559.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 232606.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 232614.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 232905.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 233218.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 233432.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 233826.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 234120.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 234600.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 234732.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-26 234826.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-27 000047.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-27 000854.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-29 232103.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-29 232137.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-29 232257.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-29 232509.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-29 232648.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-29 232734.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-29 232754.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-29 232821.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-29 233517.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-29 233538.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-29 233622.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-29 233821.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-29 233831.png,UNKNOWN,UNKNOWN
Screenshot 2026-03-29 234405.png,UNKNOWN,UNKNOWN
XNOR (1).jpg,UNKNOWN,UNKNOWN
XNOR (100).jpg,UNKNOWN,UNKNOWN
XNOR (101).jpg,UNKNOWN,UNKNOWN
XNOR (108).jpg,UNKNOWN,UNKNOWN
XNOR (111).jpg,UNKNOWN,UNKNOWN
XNOR (112).jpg,UNKNOWN,UNKNOWN
XNOR (117).jpg,UNKNOWN,UNKNOWN
XNOR (118).jpg,UNKNOWN,UNKNOWN
XNOR (119).jpg,UNKNOWN,UNKNOWN
XNOR (120).jpg,UNKNOWN,UNKNOWN
XNOR (121).jpg,UNKNOWN,UNKNOWN
XNOR (123).jpeg,UNKNOWN,UNKNOWN
XNOR (125).jpeg,UNKNOWN,UNKNOWN
XNOR (133).jpeg,UNKNOWN,UNKNOWN
XNOR (134).jpeg,UNKNOWN,UNKNOWN
XNOR (135).jpeg,UNKNOWN,UNKNOWN
XNOR (136).jpeg,UNKNOWN,UNKNOWN
XNOR (137).jpeg,UNKNOWN,UNKNOWN
XNOR (139).jpeg,UNKNOWN,UNKNOWN
XNOR (14).jpg,UNKNOWN,UNKNOWN
XNOR (15).jpg,UNKNOWN,UNKNOWN
XNOR (17).jpg,UNKNOWN,UNKNOWN
XNOR (2).jpg,UNKNOWN,UNKNOWN
XNOR (25).jpg,UNKNOWN,UNKNOWN
XNOR (3).jpg,UNKNOWN,UNKNOWN
XNOR (31).jpg,UNKNOWN,UNKNOWN
XNOR (32).jpg,UNKNOWN,UNKNOWN
XNOR (38).jpg,UNKNOWN,UNKNOWN
XNOR (39).jpg,UNKNOWN,UNKNOWN
XNOR (4).jpg,UNKNOWN,UNKNOWN
XNOR (40).jpg,UNKNOWN,UNKNOWN
XNOR (41).jpg,UNKNOWN,UNKNOWN
XNOR (5).jpg,UNKNOWN,UNKNOWN
XNOR (62).jpg,UNKNOWN,UNKNOWN
XNOR (63).jpg,UNKNOWN,UNKNOWN
XNOR (64).jpg,UNKNOWN,UNKNOWN
XNOR (65).jpg,UNKNOWN,UNKNOWN
XNOR (66).jpg,UNKNOWN,UNKNOWN
XNOR (83).jpg,UNKNOWN,UNKNOWN
XNOR (88).jpg,UNKNOWN,UNKNOWN
XNOR (97).jpg,UNKNOWN,UNKNOWN
XNOR (98).jpg,UNKNOWN,UNKNOWN
XNOR (99).jpg,UNKNOWN,UNKNOWN
XOR (1).jpg,UNKNOWN,UNKNOWN
XOR (101).jpg,UNKNOWN,UNKNOWN
XOR (102).jpg,UNKNOWN,UNKNOWN
XOR (103).jpg,UNKNOWN,UNKNOWN
XOR (104).jpg,UNKNOWN,UNKNOWN
XOR (105).jpg,UNKNOWN,UNKNOWN
XOR (110).jpg,UNKNOWN,UNKNOWN
XOR (121).jpg,UNKNOWN,UNKNOWN
XOR (122).jpg,UNKNOWN,UNKNOWN
XOR (123).jpg,UNKNOWN,UNKNOWN
XOR (124).jpg,UNKNOWN,UNKNOWN
XOR (125).jpg,UNKNOWN,UNKNOWN
XOR (128).jpeg,UNKNOWN,UNKNOWN
XOR (13).jpg,UNKNOWN,UNKNOWN
XOR (136).jpeg,UNKNOWN,UNKNOWN
XOR (137).jpeg,UNKNOWN,UNKNOWN
XOR (138).jpeg,UNKNOWN,UNKNOWN
XOR (139).jpeg,UNKNOWN,UNKNOWN
XOR (14).jpg,UNKNOWN,UNKNOWN
XOR (144).jpeg,UNKNOWN,UNKNOWN
XOR (146).jpeg,UNKNOWN,UNKNOWN
XOR (16).jpg,UNKNOWN,UNKNOWN
XOR (2).jpg,UNKNOWN,UNKNOWN
XOR (23).jpg,UNKNOWN,UNKNOWN
XOR (24).jpg,UNKNOWN,UNKNOWN
XOR (29).jpg,UNKNOWN,UNKNOWN
XOR (3).jpg,UNKNOWN,UNKNOWN
XOR (36).jpg,UNKNOWN,UNKNOWN
XOR (37).jpg,UNKNOWN,UNKNOWN
XOR (38).jpg,UNKNOWN,UNKNOWN
XOR (39).jpg,UNKNOWN,UNKNOWN
XOR (4).jpg,UNKNOWN,UNKNOWN
XOR (40).jpg,UNKNOWN,UNKNOWN
XOR (5).jpg,UNKNOWN,UNKNOWN
XOR (57).jpg,UNKNOWN,UNKNOWN
XOR (59).jpg,UNKNOWN,UNKNOWN
XOR (60).jpg,UNKNOWN,UNKNOWN
XOR (62).jpg,UNKNOWN,UNKNOWN
XOR (63).jpg,UNKNOWN,UNKNOWN
XOR (82).jpg,UNKNOWN,UNKNOWN
XOR (88).jpg,UNKNOWN,UNKNOWN
XOR (90).jpg,UNKNOWN,UNKNOWN
